file,line,function,pattern,category,current_semantics,publicly_reachable,migration_action
src/data/drbl/precomputed/2024-25.json,1,,seasonalImpact,DATA_STORAGE,"{""season"":""2024-25"",""version"":""drbl-ranking-v2-seq"",""sequentialAttributionVersion"":""drbl-seq-attr-v1"",""abilityLineageVersion"":""ability-lineage-v1"",""publishedAbilityInput"":""validated_raw_eb1600"",""rankingMode"":""season_value"",""rankingFormulaVe",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2024-25.json,1,,5.835,DATA_STORAGE,"{""season"":""2024-25"",""version"":""drbl-ranking-v2-seq"",""sequentialAttributionVersion"":""drbl-seq-attr-v1"",""abilityLineageVersion"":""ability-lineage-v1"",""publishedAbilityInput"":""validated_raw_eb1600"",""rankingMode"":""season_value"",""rankingFormulaVe",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2024-25.json,1,,2.918,DATA_STORAGE,"{""season"":""2024-25"",""version"":""drbl-ranking-v2-seq"",""sequentialAttributionVersion"":""drbl-seq-attr-v1"",""abilityLineageVersion"":""ability-lineage-v1"",""publishedAbilityInput"":""validated_raw_eb1600"",""rankingMode"":""season_value"",""rankingFormulaVe",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2024-25.json,1,,38.7142857,DATA_STORAGE,"{""season"":""2024-25"",""version"":""drbl-ranking-v2-seq"",""sequentialAttributionVersion"":""drbl-seq-attr-v1"",""abilityLineageVersion"":""ability-lineage-v1"",""publishedAbilityInput"":""validated_raw_eb1600"",""rankingMode"":""season_value"",""rankingFormulaVe",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2025-26-r1-stints.json,1,,5.835,DATA_STORAGE,"{""season"":""2025-26"",""version"":""drbl-r1-stints-v1"",""r1PointValueVersion"":""drbl-r1-points-v1"",""r1WinEquivalentVersion"":""drbl-r1-wineq-v1"",""r1PointsPerWin"":37.490662671779255,""stints"":[{""playerId"":""101108"",""teamId"":""1610612746"",""teamN"":559,""r1",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2025-26-r1-stints.json,1,,2.918,DATA_STORAGE,"{""season"":""2025-26"",""version"":""drbl-r1-stints-v1"",""r1PointValueVersion"":""drbl-r1-points-v1"",""r1WinEquivalentVersion"":""drbl-r1-wineq-v1"",""r1PointsPerWin"":37.490662671779255,""stints"":[{""playerId"":""101108"",""teamId"":""1610612746"",""teamN"":559,""r1",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2025-26.json,1,,drblWar,DATA_STORAGE,"{""season"":""2025-26"",""version"":""drbl-ranking-v2-seq"",""sequentialAttributionVersion"":""drbl-seq-attr-v1"",""abilityLineageVersion"":""ability-lineage-v1"",""publishedAbilityInput"":""validated_raw_eb1600"",""rankingMode"":""season_value"",""rankingFormulaVe",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2025-26.json,1,,pointsPerWin,DATA_STORAGE,"{""season"":""2025-26"",""version"":""drbl-ranking-v2-seq"",""sequentialAttributionVersion"":""drbl-seq-attr-v1"",""abilityLineageVersion"":""ability-lineage-v1"",""publishedAbilityInput"":""validated_raw_eb1600"",""rankingMode"":""season_value"",""rankingFormulaVe",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2025-26.json,1,,seasonalImpact,DATA_STORAGE,"{""season"":""2025-26"",""version"":""drbl-ranking-v2-seq"",""sequentialAttributionVersion"":""drbl-seq-attr-v1"",""abilityLineageVersion"":""ability-lineage-v1"",""publishedAbilityInput"":""validated_raw_eb1600"",""rankingMode"":""season_value"",""rankingFormulaVe",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2025-26.json,1,,5.835,DATA_STORAGE,"{""season"":""2025-26"",""version"":""drbl-ranking-v2-seq"",""sequentialAttributionVersion"":""drbl-seq-attr-v1"",""abilityLineageVersion"":""ability-lineage-v1"",""publishedAbilityInput"":""validated_raw_eb1600"",""rankingMode"":""season_value"",""rankingFormulaVe",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/drbl/precomputed/2025-26.json,1,,2.918,DATA_STORAGE,"{""season"":""2025-26"",""version"":""drbl-ranking-v2-seq"",""sequentialAttributionVersion"":""drbl-seq-attr-v1"",""abilityLineageVersion"":""ability-lineage-v1"",""publishedAbilityInput"":""validated_raw_eb1600"",""rankingMode"":""season_value"",""rankingFormulaVe",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/queries/players.ts,210,,drblWar,DATA_STORAGE,"drblWar: drbl?.drblWar ?? row.drblWar,",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/queries/players.ts,211,,seasonalImpact,DATA_STORAGE,"drblSeasonalImpact: drbl?.seasonalImpact ?? row.drblSeasonalImpact,",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/transformers/espn.ts,361,,drblWar,DATA_STORAGE,"drblWar: 0,",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/transformers/local.ts,125,,drblWar,DATA_STORAGE,"drblWar: 0,",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/transformers/nba.ts,147,,drblWar,DATA_STORAGE,"drblWar: 0,",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/transformers/stats-nba.ts,187,,drblWar,DATA_STORAGE,"drblWar: drbl?.drblWar ?? 0,",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/transformers/stats-nba.ts,188,,seasonalImpact,DATA_STORAGE,"drblSeasonalImpact: drbl?.seasonalImpact ?? 0,",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/transformers/stats-nba.ts,327,,drblWar,DATA_STORAGE,"drblWar: 0,",NO,KEEP_LEGACY_FIELD_ADD_R1
src/data/types/player-season.ts,131,,pointsPerWin,TYPE_DEFINITION,* @deprecated Legacy seasonalImpact / pointsPerWin (historical WAR generations).,NO,DEPRECATE_ANNOTATE
src/data/types/player-season.ts,131,,seasonalImpact,TYPE_DEFINITION,* @deprecated Legacy seasonalImpact / pointsPerWin (historical WAR generations).,NO,DEPRECATE_ANNOTATE
src/data/types/player-season.ts,135,,drblWar,TYPE_DEFINITION,drblWar: number;,NO,DEPRECATE_ANNOTATE
src/lib/player-explore-sort.ts,202,,drblWar,SORTING,// Old ?sort=drblWar bookmarks redirect to R1 Win Equivalents (not a field alias).,NO,DOCUMENT
src/lib/player-explore-sort.ts,204,,drblWar,SORTING,"key === ""drblWar"" ? ""r1WinEquivalents"" : key;",NO,DOCUMENT
