season,playerId,playerName,teamCount,teams,N_by_team,fraction_N_by_team,seasonN
2024-25,1631116,Patrick Baldwin Jr.,2,1610612746|1610612764,1610612746:26|1610612764:403,1610612746:0.060606|1610612764:0.939394,429
2024-25,1631197,Jared Rhoden,2,1610612761|1610612766,1610612761:906|1610612766:49,1610612761:0.948691|1610612766:0.051309,955
2024-25,1631210,Jacob Toppin,2,1610612737|1610612752,1610612737:112|1610612752:184,1610612737:0.378378|1610612752:0.621622,296
2024-25,1631222,Jake LaRavia,2,1610612758|1610612763,1610612758:1472|1610612763:4216,1610612758:0.258790|1610612763:0.741210,5688
2024-25,1631223,David Roddy,3,1610612737|1610612745|1610612755,1610612737:1564|1610612745:144|1610612755:115,1610612737:0.857926|1610612745:0.078991|1610612755:0.063083,1823
2024-25,1631250,Pete Nance,2,1610612749|1610612755,1610612749:281|1610612755:260,1610612749:0.519409|1610612755:0.480591,541
2024-25,1631306,Cole Swider,2,1610612761|1610612765,1610612761:676|1610612765:53,1610612761:0.927298|1610612765:0.072702,729
2024-25,1631311,Lester Quinones,2,1610612740|1610612755,1610612740:709|1610612755:71,1610612740:0.908974|1610612755:0.091026,780
2024-25,1631321,Sidy Cissoko,2,1610612757|1610612759,1610612757:238|1610612759:202,1610612757:0.540909|1610612759:0.459091,440
2024-25,1641720,Jalen Hood-Schifino,2,1610612747|1610612755,1610612747:54|1610612755:1193,1610612747:0.043304|1610612755:0.956696,1247
2024-25,1641721,Maxwell Lewis,2,1610612747|1610612751,1610612747:106|1610612751:1218,1610612747:0.080060|1610612751:0.919940,1324
2024-25,1641732,Colby Jones,2,1610612758|1610612764,1610612758:491|1610612764:1556,1610612758:0.239863|1610612764:0.760137,2047
2024-25,1641736,Reece Beekman,2,1610612744|1610612751,1610612744:17|1610612751:1876,1610612744:0.008980|1610612751:0.991020,1893
2024-25,1641798,Jaylen Martin,2,1610612751|1610612764,1610612751:20|1610612764:979,1610612751:0.020020|1610612764:0.979980,999
2024-25,1641803,Tristen Newton,2,1610612750|1610612754,1610612750:32|1610612754:43,1610612750:0.426667|1610612754:0.573333,75
2024-25,1641998,Trey Jemison III,2,1610612740|1610612747,1610612740:638|1610612747:892,1610612740:0.416993|1610612747:0.583007,1530
2024-25,1642024,Alex Reese,2,1610612755|1610612760,1610612755:993|1610612760:6,1610612755:0.993994|1610612760:0.006006,999
2024-25,1642358,AJ Johnson,2,1610612749|1610612764,1610612749:190|1610612764:2418,1610612749:0.072853|1610612764:0.927147,2608
2024-25,201988,Patty Mills,2,1610612746|1610612762,1610612746:269|1610612762:1123,1610612746:0.193247|1610612762:0.806753,1392
2024-25,202685,Jonas Valančiūnas,2,1610612758|1610612764,1610612758:2158|1610612764:3906,1610612758:0.355871|1610612764:0.644129,6064
2024-25,202693,Markieff Morris,2,1610612742|1610612747,1610612742:141|1610612747:493,1610612742:0.222397|1610612747:0.777603,634
2024-25,202710,Jimmy Butler III,2,1610612744|1610612748,1610612744:4016|1610612748:2954,1610612744:0.576184|1610612748:0.423816,6970
2024-25,203076,Anthony Davis,2,1610612742|1610612747,1610612742:1100|1610612747:5870,1610612742:0.157819|1610612747:0.842181,6970
2024-25,203114,Khris Middleton,2,1610612749|1610612764,1610612749:2186|1610612764:1366,1610612749:0.615428|1610612764:0.384572,3552
2024-25,203458,Alex Len,2,1610612747|1610612758,1610612747:491|1610612758:1019,1610612747:0.325166|1610612758:0.674834,1510
2024-25,203471,Dennis Schröder,3,1610612744|1610612751|1610612765,1610612744:2512|1610612751:3107|1610612765:3044,1610612744:0.289969|1610612751:0.358652|1610612765:0.351379,8663
2024-25,203482,Kelly Olynyk,2,1610612740|1610612761,1610612740:2066|1610612761:1609,1610612740:0.562177|1610612761:0.437823,3675
2024-25,203897,Zach LaVine,2,1610612741|1610612758,1610612741:6187|1610612758:4703,1610612741:0.568136|1610612758:0.431864,10890
2024-25,203901,Elfrid Payton,2,1610612740|1610612766,1610612740:1535|1610612766:490,1610612740:0.758025|1610612766:0.241975,2025
2024-25,203935,Marcus Smart,2,1610612763|1610612764,1610612763:1917|1610612764:1181,1610612763:0.618786|1610612764:0.381214,3098
2024-25,203937,Kyle Anderson,2,1610612744|1610612748,1610612744:2292|1610612748:1835,1610612744:0.555367|1610612748:0.444633,4127
2024-25,203952,Andrew Wiggins,2,1610612744|1610612748,1610612744:5415|1610612748:2216,1610612744:0.709606|1610612748:0.290394,7631
2024-25,203992,Bogdan Bogdanović,2,1610612737|1610612746,1610612737:2522|1610612746:2939,1610612737:0.461820|1610612746:0.538180,5461
2024-25,203994,Jusuf Nurkić,2,1610612756|1610612766,1610612756:2451|1610612766:1902,1610612756:0.563060|1610612766:0.436940,4353
2024-25,203995,Vasilije Micić,2,1610612756|1610612766,1610612756:94|1610612766:3024,1610612756:0.030148|1610612766:0.969852,3118
2025-26,1626145,Tyus Jones,3,1610612742|1610612743|1610612753,1610612742:558|1610612743:479|1610612753:3043,1610612742:0.136765|1610612743:0.117402|1610612753:0.745833,4080
2025-26,1627741,Buddy Hield,2,1610612737|1610612744,1610612737:222|1610612744:3091,1610612737:0.067009|1610612744:0.932991,3313
2025-26,1627824,Guerschon Yabusele,2,1610612741|1610612752,1610612741:2804|1610612752:1509,1610612741:0.650128|1610612752:0.349872,4313
2025-26,1627826,Ivica Zubac,2,1610612746|1610612754,1610612746:5543|1610612754:470,1610612746:0.921836|1610612754:0.078164,6013
2025-26,1628379,Luke Kennard,2,1610612737|1610612747,1610612737:3963|1610612747:3015,1610612737:0.567928|1610612747:0.432072,6978
2025-26,1628396,Tony Bradley,2,1610612737|1610612754,1610612737:150|1610612754:1733,1610612737:0.079660|1610612754:0.920340,1883
2025-26,1628963,Marvin Bagley III,2,1610612742|1610612764,1610612742:2033|1610612764:3116,1610612742:0.394834|1610612764:0.605166,5149
2025-26,1628964,Mo Bamba,2,1610612761|1610612762,1610612761:23|1610612762:151,1610612761:0.132184|1610612762:0.867816,174
2025-26,1628975,Jevon Carter,2,1610612741|1610612753,1610612741:1080|1610612753:2581,1610612741:0.295001|1610612753:0.704999,3661
2025-26,1628989,Kevin Huerter,2,1610612741|1610612765,1610612741:4377|1610612765:2075,1610612741:0.678394|1610612765:0.321606,6452
2025-26,1628991,Jaren Jackson Jr.,2,1610612762|1610612763,1610612762:378|1610612763:5606,1610612762:0.063168|1610612763:0.936832,5984
2025-26,1629012,Collin Sexton,2,1610612741|1610612766,1610612741:2976|1610612766:3811,1610612741:0.438485|1610612766:0.561515,6787
2025-26,1629014,Anfernee Simons,2,1610612738|1610612741,1610612738:4847|1610612741:720,1610612738:0.870666|1610612741:0.129334,5567
2025-26,1629027,Trae Young,2,1610612737|1610612764,1610612737:1239|1610612764:446,1610612737:0.735312|1610612764:0.264688,1685
2025-26,1629111,Jock Landale,2,1610612737|1610612763,1610612737:1900|1610612763:4263,1610612737:0.308291|1610612763:0.691709,6163
2025-26,1629216,Gabe Vincent,2,1610612737|1610612747,1610612737:1419|1610612747:2310,1610612737:0.380531|1610612747:0.619469,3729
2025-26,1629599,Amir Coffey,2,1610612749|1610612756,1610612749:1069|1610612756:873,1610612749:0.550463|1610612756:0.449537,1942
2025-26,1629631,De'Andre Hunter,2,1610612739|1610612758,1610612739:4824|1610612758:205,1610612739:0.959236|1610612758:0.040764,5029
2025-26,1629632,Coby White,2,1610612741|1610612766,1610612741:3539|1610612766:1607,1610612741:0.687719|1610612766:0.312281,5146
2025-26,1629636,Darius Garland,2,1610612739|1610612746,1610612739:3476|1610612746:2261,1610612739:0.605892|1610612746:0.394108,5737
2025-26,1629646,Charles Bassey,4,1610612738|1610612744|1610612755|1610612763,1610612738:65|1610612744:343|1610612755:20|1610612763:136,1610612738:0.115248|1610612744:0.608156|1610612755:0.035461|1610612763:0.241135,564
