season,playerId,playerName,teamCount,exposureResidual,rawValueResidual,exposureOk,rawValueOk,finalTeamMetadataUsed
2024-25,203458,Alex Len,2,0,1.4210854715202004e-14,true,true,NO
2024-25,203471,Dennis Schröder,3,0,1.4210854715202004e-14,true,true,NO
2024-25,203482,Kelly Olynyk,2,0,1.4210854715202004e-14,true,true,NO
2024-25,203897,Zach LaVine,2,0,4.263256414560601e-14,true,true,NO
2024-25,203901,Elfrid Payton,2,0,4.263256414560601e-14,true,true,NO
2024-25,203935,Marcus Smart,2,0,2.3092638912203256e-14,true,true,NO
2024-25,203937,Kyle Anderson,2,0,1.7763568394002505e-14,true,true,NO
2024-25,203952,Andrew Wiggins,2,0,2.1316282072803006e-14,true,true,NO
2024-25,203992,Bogdan Bogdanović,2,0,1.7763568394002505e-14,true,true,NO
2024-25,203994,Jusuf Nurkić,2,0,7.815970093361102e-14,true,true,NO
2024-25,203995,Vasilije Micić,2,0,1.4210854715202004e-14,true,true,NO
2025-26,1626145,Tyus Jones,3,0,7.105427357601002e-15,true,true,NO
2025-26,1627741,Buddy Hield,2,0,8.881784197001252e-15,true,true,NO
2025-26,1627824,Guerschon Yabusele,2,0,1.4210854715202004e-14,true,true,NO
2025-26,1627826,Ivica Zubac,2,0,1.4210854715202004e-14,true,true,NO
2025-26,1628379,Luke Kennard,2,0,5.684341886080802e-14,true,true,NO
2025-26,1628396,Tony Bradley,2,0,1.7763568394002505e-15,true,true,NO
2025-26,1628963,Marvin Bagley III,2,0,7.105427357601002e-15,true,true,NO
2025-26,1628964,Mo Bamba,2,0,8.881784197001252e-16,true,true,NO
2025-26,1628975,Jevon Carter,2,0,7.105427357601002e-15,true,true,NO
2025-26,1628989,Kevin Huerter,2,0,4.085620730620576e-14,true,true,NO
2025-26,1628991,Jaren Jackson Jr.,2,0,0,true,true,NO
2025-26,1629012,Collin Sexton,2,0,1.3500311979441904e-13,true,true,NO
2025-26,1629014,Anfernee Simons,2,0,3.1086244689504383e-15,true,true,NO
2025-26,1629027,Trae Young,2,0,8.881784197001252e-16,true,true,NO
2025-26,1629111,Jock Landale,2,0,7.105427357601002e-15,true,true,NO
2025-26,1629216,Gabe Vincent,2,0,7.105427357601002e-15,true,true,NO
2025-26,1629599,Amir Coffey,2,0,1.7763568394002505e-15,true,true,NO
2025-26,1629631,De'Andre Hunter,2,0,0,true,true,NO
2025-26,1629632,Coby White,2,0,2.708944180085382e-14,true,true,NO
2025-26,1629636,Darius Garland,2,0,7.105427357601002e-15,true,true,NO
2025-26,1629646,Charles Bassey,4,0,5.329070518200751e-15,true,true,NO
2025-26,1629723,John Konchar,2,0,2.842170943040401e-14,true,true,NO
2025-26,1630208,Nick Richards,2,0,2.842170943040401e-14,true,true,NO
2025-26,1630214,Xavier Tillman,2,0,3.552713678800501e-15,true,true,NO
2025-26,1630228,Jonathan Kuminga,2,0,1.2079226507921703e-13,true,true,NO
2025-26,1630245,Ayo Dosunmu,2,0,1.1368683772161603e-13,true,true,NO
2025-26,1630249,Vít Krejčí,2,0,4.263256414560601e-14,true,true,NO
2025-26,1630526,Jeremiah Robinson-Earl,2,0,5.329070518200751e-15,true,true,NO
2025-26,1630534,Ochai Agbaji,2,0,9.325873406851315e-15,true,true,NO
2025-26,1630543,Isaiah Jackson,2,0,1.0658141036401503e-14,true,true,NO
2025-26,1630557,Corey Kispert,2,0,1.0036416142611415e-13,true,true,NO
2025-26,1630560,Cam Thomas,2,0,2.1316282072803006e-14,true,true,NO
2025-26,1630625,Dalano Banton,2,0,1.7763568394002505e-15,true,true,NO
2025-26,1630631,Jose Alvarado,2,0,4.263256414560601e-14,true,true,NO
2025-26,1630644,Mac McClung,2,0,2.4424906541753444e-15,true,true,NO
2025-26,1630702,Jaden Hardy,2,0,5.329070518200751e-15,true,true,NO
2025-26,1631093,Jaden Ivey,2,0,1.4210854715202004e-14,true,true,NO
2025-26,1631097,Bennedict Mathurin,2,0,2.1316282072803006e-14,true,true,NO
2025-26,1631110,Jeremy Sochan,2,0,2.1316282072803006e-14,true,true,NO
2025-26,1631116,Patrick Baldwin Jr.,2,0,1.4432899320127035e-15,true,true,NO
