anonId,supportStatus,exposurePossessions,meanSupportDistance,errorA,errorB,absErrorDiff_A_minus_B,residualA,residualB,A_wins
a4eeec21e854,WEAK_SUPPORT,1387,0.1511146221578416,11.149615444289607,3.0801995594022427,8.069415884887364,11.149615444289607,3.0801995594022427,false
83d83af365c1,WEAK_SUPPORT,2482,0.1838332425359073,7.372360734459529,0.4400127427425893,6.93234799171694,7.372360734459529,0.4400127427425893,false
48f914fc967e,WEAK_SUPPORT,1714,0.29160477228690285,9.340669490333783,2.515304476445284,6.825365013888499,-9.340669490333783,2.515304476445284,false
14ceaaf3227b,WEAK_SUPPORT,3022,0.16992043257128922,7.269802823761106,0.5208991728298633,6.748903650931243,-7.269802823761106,0.5208991728298633,false
1831616ba0c3,WEAK_SUPPORT,2596,0.2694692478707222,6.465692782061815,0.02039153946757266,6.445301242594242,6.465692782061815,0.02039153946757266,false
2eac127db41c,WEAK_SUPPORT,2370,0.18426556504635583,7.286888439240587,1.013975592223176,6.272912847017412,7.286888439240587,1.013975592223176,false
f95fb64a3e9d,WEAK_SUPPORT,2174,0.16965937852467053,6.5443130811656545,0.48908589225431087,6.055227188911344,6.5443130811656545,-0.48908589225431087,false
90f7735d8899,WEAK_SUPPORT,2551,0.17160809333169735,6.486111656072668,0.5045548393487918,5.981556816723876,-6.486111656072668,-0.5045548393487918,false
885d0aef8419,WEAK_SUPPORT,2880,0.27129091601549,6.146110719154246,0.23744624961520822,5.908664469539038,-6.146110719154246,-0.23744624961520822,false
069ee7eb24e7,WEAK_SUPPORT,2573,0.19342557462925833,5.885480874038418,0.10375869421948491,5.781722179818933,-5.885480874038418,0.10375869421948491,false
2714fb418918,WEAK_SUPPORT,2178,0.25347548729790687,6.328026165427389,0.5751701417768436,5.752856023650545,6.328026165427389,0.5751701417768436,false
29914bf9207d,WEAK_SUPPORT,1941,0.15227641773090772,8.489100401314845,2.812208599722746,5.676891801592099,-8.489100401314845,-2.812208599722746,false
63aa3b9e2531,WEAK_SUPPORT,2510,0.1626400021485348,8.471897624878954,3.0090930292282474,5.462804595650707,8.471897624878954,3.0090930292282474,false
0080592ec751,WEAK_SUPPORT,2933,0.15325061559319533,5.415929618386176,0.49426391671031755,4.921665701675859,5.415929618386176,-0.49426391671031755,false
9990e53bc5bd,WEAK_SUPPORT,1876,0.22419939166600425,5.138890651592654,0.252108391919945,4.886782259672708,5.138890651592654,-0.252108391919945,false
4a20678d7125,WEAK_SUPPORT,2780,0.20419447176118427,7.397335260958089,2.5677949386475962,4.829540322310493,-7.397335260958089,-2.5677949386475962,false
12b2e9aa591a,WEAK_SUPPORT,1868,0.20936409934675757,7.476863170543496,2.7783054950269594,4.698557675516536,-7.476863170543496,-2.7783054950269594,false
dc5cef2fddcf,WEAK_SUPPORT,1754,0.17254108801275408,4.716450184619436,0.4778670636843373,4.238583120935099,4.716450184619436,-0.4778670636843373,false
6141d546b2a6,WEAK_SUPPORT,3431,0.22278633765298084,5.707695915504364,2.095395012557633,3.612300902946731,-5.707695915504364,-2.095395012557633,false
f11a38edc625,WEAK_SUPPORT,2446,0.20960830509937695,5.141588459947831,1.5389449985404982,3.6026434614073333,-5.141588459947831,1.5389449985404982,false
d34b57c56050,WEAK_SUPPORT,2915,0.1892733141769568,5.43308757278168,1.8389995999878623,3.594087972793818,5.43308757278168,1.8389995999878623,false
42afc0583cb7,WEAK_SUPPORT,2356,0.1835668813723587,3.706293121291024,0.33525103264395906,3.371042088647065,-3.706293121291024,0.33525103264395906,false
7f36185296d0,WEAK_SUPPORT,2109,0.15883902398127683,4.94218266477114,1.823266574402369,3.118916090368771,-4.94218266477114,-1.823266574402369,false
80640e5c9a67,WEAK_SUPPORT,2772,0.3117594674709998,0.13416639832924382,3.1566675422167014,-3.0225011438874576,-0.13416639832924382,3.1566675422167014,true
7fab5ce9aa7f,WEAK_SUPPORT,1628,0.26418690493511254,5.090137052023389,2.148533097818539,2.9416039542048495,5.090137052023389,-2.148533097818539,false
054f8bc78201,WEAK_SUPPORT,1391,0.20235553449390253,3.4426531003445193,0.5539532292184375,2.888699871126082,3.4426531003445193,0.5539532292184375,false
11fbe0a9f043,WEAK_SUPPORT,2230,0.19990020726900895,3.24247749531224,0.4202139140120259,2.822263581300214,3.24247749531224,0.4202139140120259,false
8eab3173f8cc,WEAK_SUPPORT,2696,0.21900955847097828,3.5649827172604667,0.8019101797114998,2.763072537548967,3.5649827172604667,-0.8019101797114998,false
b67bff335895,WEAK_SUPPORT,1707,0.25669874959941946,4.389182826773897,1.6618624396118828,2.727320387162014,4.389182826773897,1.6618624396118828,false
2845ba7df7a7,WEAK_SUPPORT,2779,0.2660044333495911,3.52584816289346,0.8710236592730289,2.654824503620431,-3.52584816289346,-0.8710236592730289,false
a4e3f755f47b,WEAK_SUPPORT,2080,0.2356023138770095,3.2243901091445473,0.5874983856044296,2.636891723540118,-3.2243901091445473,-0.5874983856044296,false
e4c7dbfc4471,WEAK_SUPPORT,3041,0.15610236562484833,2.8803371973184144,0.25114520078534563,2.629191996533069,2.8803371973184144,-0.25114520078534563,false
e10ed1bf6eff,WEAK_SUPPORT,3383,0.2949393354827797,2.904534721262796,0.3603060152477855,2.5442287060150104,2.904534721262796,-0.3603060152477855,false
5796e620e473,WEAK_SUPPORT,1018,0.1502511042775325,4.7415696896757185,2.2482784663094795,2.493291223366239,4.7415696896757185,2.2482784663094795,false
2535141613d8,WEAK_SUPPORT,3269,0.16215989312223206,4.279434005976586,1.8700015700922543,2.409432435884331,4.279434005976586,1.8700015700922543,false
d3a6ef10837c,WEAK_SUPPORT,2382,0.33554940257182353,3.8512326096929654,1.4857897695271256,2.36544284016584,-3.8512326096929654,1.4857897695271256,false
442a0a352dff,WEAK_SUPPORT,1256,0.16550552179970213,3.104681415745409,0.742959975454746,2.3617214402906628,3.104681415745409,-0.742959975454746,false
57adbbcf3953,WEAK_SUPPORT,220,0.27897236730313374,0.47341705358672614,2.8210133978203467,-2.3475963442336205,0.47341705358672614,-2.8210133978203467,true
a8ec6632e4aa,WEAK_SUPPORT,2046,0.21616729141943986,3.342472777283014,1.0784410524497359,2.264031724833278,3.342472777283014,-1.0784410524497359,false
682295e79689,WEAK_SUPPORT,2355,0.1967358696712146,2.500511600243681,0.42841993453355054,2.0720916657101305,-2.500511600243681,0.42841993453355054,false
6b693d6125ba,WEAK_SUPPORT,3144,0.1975010684049733,5.999962730930059,3.969818397840037,2.0301443330900217,5.999962730930059,3.969818397840037,false
412bf20edc5e,WEAK_SUPPORT,2246,0.14045991625755533,0.15186383558493294,2.154273234187697,-2.0024093986027642,0.15186383558493294,-2.154273234187697,true
f778384c7c63,WEAK_SUPPORT,3065,0.20222057471982177,0.3198168611537975,2.253709951464072,-1.9338930903102747,-0.3198168611537975,2.253709951464072,true
37a025359802,WEAK_SUPPORT,1497,0.22496453218820545,2.3687984520844143,0.44122783213895755,1.9275706199454568,2.3687984520844143,0.44122783213895755,false
9e8f6eb00a5c,WEAK_SUPPORT,1634,0.2054309638425025,0.7722286244945786,2.575653844092054,-1.8034252195974754,-0.7722286244945786,-2.575653844092054,true
18177338c366,WEAK_SUPPORT,2235,0.2702168995859525,2.3005931687691215,0.5653580234898967,1.7352351452792247,2.3005931687691215,-0.5653580234898967,false
be28debd95ed,WEAK_SUPPORT,3048,0.16111717088444108,3.8006560077805474,2.066093358033794,1.7345626497467532,3.8006560077805474,-2.066093358033794,false
2562880921da,WEAK_SUPPORT,2875,0.15771332059125623,4.297767428603963,2.5885854501080128,1.7091819784959505,4.297767428603963,-2.5885854501080128,false
126314a6b392,WEAK_SUPPORT,3258,0.17629840967508265,3.8362235883638545,2.2061804985855535,1.630043089778301,-3.8362235883638545,2.2061804985855535,false
28336bbb0ef8,WEAK_SUPPORT,2923,0.26619056248829764,3.465426911156201,1.8367977358200656,1.6286291753361355,3.465426911156201,1.8367977358200656,false
688ea5d9966f,WEAK_SUPPORT,1858,0.14834166574397747,2.6337471983877867,1.0068264253847654,1.6269207730030213,2.6337471983877867,-1.0068264253847654,false
754ddf1d4125,WEAK_SUPPORT,2886,0.23419052754844577,2.181968553281248,0.5628825584870595,1.6190859947941885,-2.181968553281248,-0.5628825584870595,false
276e0f1e5e70,WEAK_SUPPORT,3081,0.24679911543523944,2.376152316964591,0.7712667403578501,1.6048855766067407,2.376152316964591,0.7712667403578501,false
2beb245f7bd6,WEAK_SUPPORT,3221,0.17036141915160477,0.15952670609115915,1.759764835766533,-1.6002381296753738,0.15952670609115915,-1.759764835766533,true
c3fc331b0601,WEAK_SUPPORT,2432,0.17537766092709695,4.0401321574544165,2.4842491828508906,1.5558829746035259,-4.0401321574544165,2.4842491828508906,false
7abafbe255a0,WEAK_SUPPORT,2315,0.14808836631145256,1.6623764278786666,0.12067481439488514,1.5417016134837813,1.6623764278786666,0.12067481439488514,false
acf46987bb1a,WEAK_SUPPORT,2401,0.1639085657588406,1.1418166747902965,2.654958628091319,-1.5131419533010226,-1.1418166747902965,-2.654958628091319,true
01031db42cb8,WEAK_SUPPORT,2908,0.2364897749638345,2.8932121856802806,1.4333288988334847,1.459883286846796,2.8932121856802806,1.4333288988334847,false
7830fc73a91d,WEAK_SUPPORT,2278,0.2131848520609051,5.894399193143795,4.434937341268631,1.4594618518751643,-5.894399193143795,-4.434937341268631,false
41782dbe71d4,WEAK_SUPPORT,2180,0.22075956133943173,3.6568261351418174,2.2000382565007603,1.456787878641057,3.6568261351418174,2.2000382565007603,false
c72ee7f48557,WEAK_SUPPORT,1104,0.15492766751612216,0.03280565855184858,1.3556385922722782,-1.3228329337204296,0.03280565855184858,1.3556385922722782,true
600e4df6af87,WEAK_SUPPORT,1169,0.21020506777279624,2.4695642774503903,1.1545275812935891,1.3150366961568012,-2.4695642774503903,1.1545275812935891,false
fec2f8afdd34,WEAK_SUPPORT,3255,0.27524546268855715,2.603652901859789,1.3448038084494984,1.2588490934102905,-2.603652901859789,1.3448038084494984,false
d918acb2a5e6,WEAK_SUPPORT,2181,0.17453133217748476,4.106660148105128,2.9994171164444707,1.1072430316606572,4.106660148105128,-2.9994171164444707,false
6dcd2c9582f6,WEAK_SUPPORT,2337,0.14418474189210398,2.5789159681309,1.5108696515038758,1.0680463166270244,2.5789159681309,1.5108696515038758,false
f115170c6570,WEAK_SUPPORT,1759,0.2426965146230893,3.1780456703027675,2.1790508339349204,0.9989948363678471,-3.1780456703027675,2.1790508339349204,false
881800263787,WEAK_SUPPORT,2763,0.17990760190128854,2.3914538294695937,1.413745940828424,0.9777078886411696,2.3914538294695937,1.413745940828424,false
914ce198f96e,WEAK_SUPPORT,3226,0.25827524717377676,2.0158510084251446,1.0734793012927297,0.9423717071324149,2.0158510084251446,1.0734793012927297,false
42ffaab75ae2,WEAK_SUPPORT,1161,0.21922998666098978,1.1382036692226887,0.20853764817562792,0.9296660210470608,-1.1382036692226887,-0.20853764817562792,false
5328bf4e0bca,WEAK_SUPPORT,2147,0.16630359695040045,1.1684906821127665,0.24467653708209858,0.9238141450306679,1.1684906821127665,-0.24467653708209858,false
28eca08dd80a,WEAK_SUPPORT,2597,0.21347445486110972,1.4133386184707981,0.5968248477065952,0.816513770764203,1.4133386184707981,0.5968248477065952,false
02ef11be32ae,WEAK_SUPPORT,2166,0.15061800565110126,2.665478087807911,1.91346955428899,0.752008533518921,2.665478087807911,1.91346955428899,false
0c44a3da534f,WEAK_SUPPORT,1743,0.22624136655701962,0.19861220674941693,0.9346429416425897,-0.7360307348931727,0.19861220674941693,0.9346429416425897,true
5e5d808af430,WEAK_SUPPORT,2907,0.17176212627357457,2.4531510141214063,1.761557601969034,0.6915934121523724,-2.4531510141214063,1.761557601969034,false
9b8a500107bc,WEAK_SUPPORT,3058,0.23823812041560674,2.0465422671834523,2.685669174011757,-0.6391269068283045,-2.0465422671834523,-2.685669174011757,true
f4875be0b6f6,WEAK_SUPPORT,2513,0.2121434464002774,1.1955421245750197,1.827254204234478,-0.6317120796594582,-1.1955421245750197,-1.827254204234478,true
498bd53667e3,WEAK_SUPPORT,2602,0.15697406428985522,1.8361977856373868,1.2555374668261527,0.580660318811234,-1.8361977856373868,1.2555374668261527,false
e19ab597c8d3,WEAK_SUPPORT,967,0.21778490268287345,3.977119699364578,3.4225394778675304,0.5545802214970474,-3.977119699364578,-3.4225394778675304,false
ddad77ca5db0,WEAK_SUPPORT,3150,0.2675288942955398,1.6370882462874239,2.1883283488935406,-0.5512401026061167,-1.6370882462874239,-2.1883283488935406,true
735e95a1cc45,WEAK_SUPPORT,2537,0.1545473408972988,0.08383542490273405,0.6055419158369749,-0.5217064909342408,-0.08383542490273405,-0.6055419158369749,true
ac1992eceddf,WEAK_SUPPORT,1586,0.2518205370568969,2.197515105137814,1.6912486523469936,0.5062664527908205,-2.197515105137814,1.6912486523469936,false
ff7aa761194e,WEAK_SUPPORT,1579,0.16856243667137388,3.0288248083277134,2.540350093806025,0.48847471452168856,3.0288248083277134,2.540350093806025,false
4b15dbb5d97a,WEAK_SUPPORT,2499,0.1755775696452692,1.8172092652424596,2.2979127535753454,-0.4807034883328858,1.8172092652424596,2.2979127535753454,true
9ffa06002739,WEAK_SUPPORT,2691,0.20421546162435517,0.7092818758219186,0.22939238574073445,0.47988949008118414,-0.7092818758219186,-0.22939238574073445,false
d6b1fc922edc,WEAK_SUPPORT,1564,0.17331962667736758,2.1672154986675043,1.7008684541132584,0.4663470445542459,2.1672154986675043,-1.7008684541132584,false
49f8d053e0ba,WEAK_SUPPORT,1712,0.18349222027798734,0.6604002537200057,0.23717547394086602,0.42322477977913964,0.6604002537200057,0.23717547394086602,false
