playerId,playerName,uir,P_RAW,N,teamClass
1628384,O.G. Anunoby,4.912077959871281,1.1771142976092903,6948,TEAM_CHANGE
202331,Paul George,4.400766098298806,1.2199872753040706,10096,TEAM_CHANGE
1628983,Shai Gilgeous-Alexander,4.170132649096425,2.557273195291077,10853,SAME_TEAM
203994,Jusuf Nurkic,4.149643035462333,-0.7999525666622189,8741,SAME_TEAM
1628401,Derrick White,3.993812160628509,0.6473308038004344,9805,SAME_TEAM
1630631,Jose Alvarado,3.7271608480125042,0.8232310232395709,4254,SAME_TEAM
1628371,Jonathan Isaac,3.6533485093658884,2.353336448970202,3679,SAME_TEAM
203957,Dante Exum,3.6499979041402653,0.555079528034509,4575,SAME_TEAM
203999,Nikola Jokic,3.5469383790622624,2.577636027612142,11154,SAME_TEAM
203484,Kentavious Caldwell-Pope,3.4676577209873165,0.49993067836519056,9741,TEAM_CHANGE
1641764,Brandin Podziemski,3.443187143911686,-0.1811489997619579,8027,SAME_TEAM
1628973,Jalen Brunson,3.326207534282786,1.649088132319677,10884,SAME_TEAM
1629029,Luka Doncic,3.2608087943134287,1.259091907624296,11073,SAME_TEAM
1630200,Tre Jones,3.2501970079572167,0.23780354240851645,8989,SAME_TEAM
1627832,Fred VanVleet,3.217256086421228,0.6246788527766363,10988,SAME_TEAM
1641718,Keyonte George,-2.6962988008038042,-1.539787100832514,8394,SAME_TEAM
1631133,Jabari Walker,-2.705688410487486,0.0983798124563108,6831,SAME_TEAM
202692,Alec Burks,-2.7483462371129757,-0.2995252394045025,4981,TEAM_CHANGE
1626145,Tyus Jones,-2.794257306227066,-0.1000595657208367,8300,TEAM_CHANGE
1629673,Jordan Poole,-2.826975564117511,-1.372461657224939,10119,SAME_TEAM
1641731,Bilal Coulibaly,-2.8845910183321255,-0.7073138930384604,7317,SAME_TEAM
1631103,Malaki Branham,-2.9813205731501196,-1.2453757126060219,6734,SAME_TEAM
1630702,Jaden Hardy,-2.9815564144726503,-1.590288498120987,4146,SAME_TEAM
1641706,Brandon Miller,-3.103330118842212,-0.29519935451075396,9697,SAME_TEAM
1628970,Miles Bridges,-3.1651518336977382,-0.0884383134197302,10367,SAME_TEAM
1628380,Zach Collins,-3.206141043355758,-1.1174515724904912,6495,SAME_TEAM
1628381,John Collins,-3.248461429019348,0.6304192869440152,7936,SAME_TEAM
1630703,Scoot Henderson,-3.6544568127577945,-2.84618893595643,7182,SAME_TEAM
1630557,Corey Kispert,-3.725125650121653,0.6722786270232265,8735,SAME_TEAM
1641711,Gradey Dick,-4.1336672349070955,-0.6529342620616525,5304,SAME_TEAM
