candidate,WIS,cov50,cov80,cov95,width50,width80,width95,spearmanSigmaAbsErr,deltaWIS_vs_U0,relImp,foldWins,clears_U0_gates
U0,4.43626047461963,0.4963054187192118,0.7906403940886699,0.9353448275862069,2.6508429884683196,5.259313683376451,9.925514705555056,0.016298452264798112,0,0,n/a,baseline
U1,4.37438731883086,0.3817733990147783,0.6644088669950738,0.8762315270935961,2.2952567985100467,4.685099387972227,7.865656324763947,0.2534550209813133,-0.06187315578876973,0.013947142225474217,4/4,false
U2,4.314058843592033,0.4513546798029557,0.7426108374384236,0.9199507389162561,2.4810953500382746,4.816988627972621,8.068790821865248,0.2501169308096455,-0.12220163102759685,0.02754609016461653,4/4,false
fold,,,,,,,,,,,F2,U0=4.252079189440401;U1=4.222208252346377;U2=4.146738479932795
fold,,,,,,,,,,,F3,U0=4.518902077422684;U1=4.476857674213939;U2=4.446739634923042
fold,,,,,,,,,,,F4,U0=4.867058297713667;U1=4.765037421516734;U2=4.716457155717753
fold,,,,,,,,,,,F5,U0=4.1019806810511295;U1=4.030614777512776;U2=3.9433900560314576
