season,playerId,player,teamId,drblP,drblLn,drblB,rawAbilityRate,fusedRateRaw,fusionDelta,posteriorAbilityRate,drbl100,possessions
2024-25,1630541,Moses Moody,1610612744,0.63,-0.13,-0.24,0.6486,0.59,-0.058599999999999985,0.5732,0.5732,6827
2024-25,1629048,Goga Bitadze,1610612753,1,0.14,-0.03,1.0343,0.75,-0.2843,0.7243,0.7243,5644
2024-25,203084,Harrison Barnes,1610612759,1.13,-1.49,-0.37,1.1506,0.36,-0.7906000000000001,0.3522,0.3522,9064
2024-25,1628436,Luke Kornet,1610612738,1.33,1.14,-0.38,1.3802,0.81,-0.5702,0.7805,0.7805,5296
2024-25,1631105,Jalen Duren,1610612765,0.68,-2.94,-0.21,0.6982,0.4,-0.2982,0.3907,0.3907,8369
2024-25,203076,Anthony Davis,1610612747,0.59,1.48,-0.07,0.6092,0.53,-0.07919999999999994,0.5152,0.5152,6970
2024-25,1630162,Anthony Edwards,1610612750,0.8,1.77,-0.15,0.8152,0.21,-0.6052000000000001,0.2064,0.2064,11610
2024-25,1642377,Jaylen Wells,1610612763,0.26,-1.75,-0.09,0.2628,0.37,0.10720000000000002,0.3616,0.3616,8654
2024-25,1631109,Mark Williams,1610612766,1.25,-0.87,-0.15,1.2984,0.87,-0.4284,0.8354,0.8354,4827
2024-25,1627884,Derrick Jones Jr.,1610612746,0.86,0.84,-0.07,0.8821,0.43,-0.4521,0.4192,0.4192,7733
2024-25,201142,Kevin Durant,1610612756,0.71,2.76,-0.23,0.7265,0.31,-0.41650000000000004,0.3034,0.3034,9248
2024-25,1641709,Ausar Thompson,1610612765,0.94,1.57,0.09,0.9746,0.7,-0.27460000000000007,0.6755,0.6755,5515
2024-25,1628401,Derrick White,1610612738,0.49,0.29,-0.02,0.4988,0.24,-0.25880000000000003,0.2355,0.2355,10451
2024-25,203552,Seth Curry,1610612766,1.25,-1.6,-0.11,1.3126,0.96,-0.3526,0.9175,0.9175,4319
2024-25,1628449,Chris Boucher,1610612761,1.93,2.97,0.06,2.0391,1.27,-0.7690999999999999,1.2006,1.2006,3459
2024-25,1630178,Tyrese Maxey,1610612755,0.57,0.78,0.1,0.5813,0.38,-0.20130000000000003,0.3705,0.3705,7776
2024-25,1629655,Daniel Gafford,1610612742,1.5,0.12,-0.18,1.5596,0.71,-0.8496000000000001,0.6834,0.6834,5145
2024-25,1629060,Rui Hachimura,1610612747,1.02,2.22,-0.19,1.0483,0.4,-0.6483,0.3896,0.3896,7480
