season,band,player,P400,PFull,LN400,LNFull,B400,BFull,fused400,fusedFull,posterior400,posteriorFull,rank400,rankFull,fusionDelta,posteriorDelta
2025-26,top25_full,David Jones Garcia,1.95,1.97,2.53,3.43,-0.01,-0.11,0.49,2.0976,0.3033,1.3031,108,7,-1.069,-0.7945
2025-26,top25_full,Kawhi Leonard,1.7,2.8,0.52,3.81,0.34,0.06,0.47,1.25,0.4316,1.2214,78,8,-1.6179000000000001,-0.02859999999999996
2025-26,top25_full,Jalen Duren,1.21,2.39,2.67,2.01,-0.19,-0.01,0.45,1.23,0.4198,1.2005,82,9,-1.2166000000000001,-0.02950000000000008
2025-26,top25_full,Giannis Antetokounmpo,1.7,2.44,2.52,3.85,0.58,0.4,1.05,1.23,0.9565,1.1745,15,10,-1.3266,-0.05549999999999988
2025-26,top25_full,Sam Merrill,1.14,1.35,-0.96,1.62,0.05,-0.23,0.2435,1.09,0.2116,1.0526,149,12,-0.3059999999999998,-0.0374000000000001
2025-26,top25_full,Malaki Branham,0.01,1.52,0.19,1.53,-0.15,-0.08,0.05,1.2071,0.0323,1.0217,216,14,-0.5897999999999999,-0.1854
2025-26,top25_full,Tyler Herro,3.36,0.94,-0.08,-0.33,-0.03,-0.25,2.26,1.04,1.8195,0.9951,3,15,0.05810000000000004,-0.04490000000000005
2025-26,top25_full,Anthony Edwards,1.49,1.61,-0.83,0.06,0.32,0.01,0.51,0.96,0.4764,0.939,70,17,-0.6867000000000001,-0.02100000000000002
2025-26,top25_full,Keldon Johnson,1.68,1.21,-0.02,-0.11,-0.25,-0.19,0.36,0.96,0.3343,0.9367,98,18,-0.2803,-0.023299999999999987
2025-26,top25_full,Myron Gardner,0.59,1.51,-0.36,1.26,-0.01,0.01,0.1924,1,0.0736,0.898,204,20,-0.6852,-0.10199999999999998
2025-26,top25_full,Thanasis Antetokounmpo,3.98,1.55,0.73,0.12,0.56,0.63,2.19,1.14,0.7725,0.8488,29,21,-0.9465999999999999,-0.2911999999999999
2025-26,top25_full,Garrison Mathews,0.53,1.43,0.87,1.03,0,0.16,-0.66,1.0311,-0.5182,0.8313,389,23,-0.7438,-0.19979999999999987
