playerId,possessions,meanResidual,usage,threeRate,starterRate,minutesPerGame
1641879,70,-0.030481019910714283,0.14705882352941177,0,0,8
1631199,50,-0.02831087802500002,0.3333333333333333,0.75,0,17
200782,225,-0.021883430916666672,0.11607142857142858,0.8571428571428571,0.3333333333333333,19.333333333333332
202684,1319,-0.020954935485689916,0.15902140672782875,0.04225352112676056,0,8.175
1630550,997,-0.020304088904212664,0.17234468937875752,0.3559322033898305,0,12.45
1641798,999,-0.01883271743618619,0.18236472945891782,0.3108108108108108,0,15
1630283,512,-0.01833601579589841,0.1517509727626459,0,0.18181818181818182,11.363636363636363
203458,1510,-0.017945570767798,0.14095744680851063,0.14285714285714285,0.15217391304347827,8.23913043478261
1641936,130,-0.017779905817307706,0.13846153846153847,0.7777777777777778,0,11.666666666666666
1630585,311,-0.01638578056672025,0.21794871794871795,0.2962962962962963,0,19.75
1630574,874,-0.016051794708237973,0.1471264367816092,0,0.04,8.6
1628964,1645,-0.013841380873860172,0.18392204628501826,0.48214285714285715,0.0625,12.96875
1641878,1530,-0.012735641156045734,0.22337662337662337,0.43410852713178294,0.13333333333333333,24.6
1629052,559,-0.012517099512522355,0.2099644128113879,0.46153846153846156,0.3333333333333333,23.833333333333332
1641854,2067,-0.012460205752298014,0.2005842259006816,0.34285714285714286,0.0196078431372549,10.03921568627451
1626196,578,-0.011805638137975787,0.17123287671232876,0.5882352941176471,0,19
203083,3050,-0.011454247501127056,0.23680738786279684,0.08547008547008547,0.575,18.75
1629646,1568,-0.011129002122528694,0.21181001283697048,0,0.02857142857142857,10.742857142857142
1641720,1247,-0.010542341671261033,0.20952380952380953,0.46938775510204084,0,21
1641723,530,-0.010415426061320763,0.24344569288389514,0.40425531914893614,0,12.3
1641713,1946,-0.010340857695272357,0.2528263103802672,0.47738693467336685,0.10344827586206896,15.827586206896552
1642262,4486,-0.010154141438224474,0.15480984340044743,0.5252918287937743,0.42,21.14
1629651,7622,-0.009732130644146861,0.20569620253164558,0.03697183098591549,0.8857142857142857,26.82857142857143
1631232,1396,-0.009630808063216327,0.1985611510791367,0.3944954128440367,0.42857142857142855,23.642857142857142
1642281,1834,-0.009194719081924752,0.2174863387978142,0.38926174496644295,0.06382978723404255,9.595744680851064
201599,2840,-0.008984001325924309,0.16701902748414377,0,0.08928571428571429,12.303571428571429
1629234,3072,-0.008975691725056967,0.18523316062176165,0.030927835051546393,0.06557377049180328,12.19672131147541
1642354,3382,-0.008810440558471312,0.23240685984624482,0.4318936877076412,0.4166666666666667,23.416666666666668
1630533,6216,-0.008613531974189593,0.21444768383543894,0.5807692307692308,0.7142857142857143,24.50793650793651
1630548,5273,-0.008498161037478654,0.2078907435508346,0.6610526315789473,0.28125,19.78125
203967,854,-0.008469337595140519,0.2099056603773585,0.4482758620689655,0.25,13.125
201145,1626,-0.008257208984855473,0.17326732673267325,0.6528925619834711,0.09375,12.3125
1630556,2540,-0.008249248419906504,0.14580031695721077,0.4,0.45,15.275
1630623,642,-0.007917324805295948,0.2120253164556962,0.8461538461538461,0,21.428571428571427
1642274,8030,-0.007896694782222905,0.1775118424333084,0.002036659877800407,0.9178082191780822,26.767123287671232
1641730,4216,-0.00765309484967981,0.2213270142180095,0.7016129032258065,0.43478260869565216,22.695652173913043
1631207,4286,-0.0076255361824836805,0.171268132896584,0.3880597014925373,0.0684931506849315,13.534246575342467
1641707,322,-0.007623282181677023,0.16770186335403728,0.6666666666666666,1,25
201959,1649,-0.0075546819625530864,0.19123020706455543,0.021052631578947368,0.2972972972972973,11
1641733,5645,-0.007517878337023912,0.24408336276933945,0.5377855887521968,0.45,22.8
1631124,5768,-0.007467475336826016,0.2004847645429363,0.5534979423868313,0.06153846153846154,21.26153846153846
1641765,2370,-0.007303327648470458,0.21079258010118043,0.29310344827586204,0.07692307692307693,11.134615384615385
1642267,10321,-0.007176806561955044,0.18664850136239783,0.543978349120433,0.691358024691358,29.876543209876544
1641757,1687,-0.007112717934943677,0.20332936979785968,0.2835820895522388,0,11.297297297297296
1642271,6432,-0.007001906078397045,0.22395508421709295,0.4247104247104247,0.375,21.11111111111111
202687,2171,-0.006947243845002301,0.1574585635359116,0,0.9285714285714286,18.785714285714285
1628470,1265,-0.006896753463438751,0.1936,0.7333333333333333,0.15384615384615385,12.076923076923077
1642347,6099,-0.0068832567803123485,0.2170212765957447,0.44246031746031744,0.14666666666666667,19.533333333333335
1642348,4636,-0.006771679351407471,0.19939577039274925,0.5026455026455027,0.5909090909090909,26.15909090909091
1630553,7816,-0.006746736528795101,0.24891053576006153,0.5147625160462131,0.7088607594936709,24.367088607594937
1630639,2076,-0.0067065706481816,0.23106423777564716,0.531578947368421,0.07692307692307693,18.73076923076923
1630542,1066,-0.0066946469101782395,0.1641509433962264,0.463768115942029,0.4,25.1
1629673,8417,-0.006685208502621192,0.3225576420251961,0.5915221579961464,1,29.388059701492537
1630560,3125,-0.006666563754299998,0.3635782747603834,0.42951541850220265,0.92,31.32
1631115,3152,-0.006658717231123096,0.22441195168467895,0.19923371647509577,0.18181818181818182,17.522727272727273
203109,421,-0.006649424183491695,0.14492753623188406,0.6818181818181818,0.2222222222222222,11.444444444444445
1629022,1994,-0.006550167065258276,0.25478348439073517,0.5990566037735849,0.35,23.95
1641722,5481,-0.006544958783410881,0.24180626365622723,0.5971223021582733,0.16071428571428573,23.625
203903,4009,-0.0064923251527812306,0.3100697906281156,0.4695121951219512,0.24324324324324326,26.08108108108108
1641718,8764,-0.006436580127724229,0.27936145952109465,0.5516866158868335,0.5223880597014925,31.44776119402985
1629643,826,-0.006372605594733654,0.14009661835748793,0.7,0.3333333333333333,21.88888888888889
1628971,3799,-0.006364096735983151,0.21251972645975803,0.2621359223300971,0.2926829268292683,22.414634146341463
1629028,4954,-0.006351835183563793,0.23629032258064517,0.06837606837606838,1,30.2
1641772,267,-0.006280449653558037,0.2932330827067669,0.3125,0.2,12.6
1631117,7243,-0.006139943239075671,0.18040951853901493,0.08333333333333333,1,30.03448275862069
1631109,4827,-0.006128743008726949,0.25299215848122164,0.008948545861297539,0.9318181818181818,26.5
1630243,1731,-0.006109499985557483,0.21734104046242775,0.5238095238095238,0.06451612903225806,13.870967741935484
1642259,7695,-0.006091589721044535,0.26536458333333335,0.412484700122399,1,27.045454545454547
1642419,4336,-0.006046217938480156,0.1860572483841182,0.7463976945244957,0.1694915254237288,17.576271186440678
1642268,7772,-0.006018119966224896,0.22233659289758106,0.3045045045045045,0.647887323943662,25.816901408450704
1630192,2487,-0.005919322211122841,0.1473429951690821,0.36879432624113473,0.07017543859649122,10.68421052631579
1626179,6584,-0.005838121258543435,0.2324307879525403,0.48392282958199356,0.3492063492063492,25.80952380952381
1629629,2518,-0.005783602617404688,0.10890302066772654,0.5,0.24242424242424243,17.848484848484848
202693,634,-0.0055838541600946425,0.221875,0.5142857142857142,0.13333333333333333,11
1641871,1949,-0.005528355668291428,0.2028397565922921,0.6385542168674698,0,10.26086956521739
1629003,3407,-0.005507523581963597,0.19002932551319648,0.41732283464566927,0.03508771929824561,14.631578947368421
1630208,5185,-0.0054994199355111115,0.22058252427184466,0.005763688760806916,0.7543859649122807,22.017543859649123
1631170,5390,-0.0054509822806122436,0.23570898292501857,0.2577777777777778,0.26153846153846155,20.676923076923078
1630695,2933,-0.005414900661651892,0.1445126107702795,0.725925925925926,0.2631578947368421,18.526315789473685
1626204,1998,-0.005391932199386909,0.19718309859154928,0.49032258064516127,0.125,19.333333333333332
