playerId,nRefits,meanPA,sdPA,minPA,maxPA
101108,10,4.3821724175390075,2.070744732000164,0.35462189396704424,6.709948887237334
1626145,10,2.184277913903786,1.8265125201593173,-1.3423362846534848,5.3117352806923215
1626157,10,-7.267851034968193,1.8324243441843724,-9.376858022294186,-4.274082256071303
1626162,10,-5.138850318043071,2.169113306116001,-10.027996683782682,-2.5786255131686278
1626164,10,2.9495071307734255,1.6027798419479715,0.501727285382993,5.285062465623888
1626167,10,-2.6594856025377127,3.493476962368388,-6.284843918901276,3.403366730280001
1626179,10,-1.2743550830612946,3.300836772403978,-5.411670030636956,3.1546132423828475
1626181,10,1.6577919195278858,1.7303675655964448,-0.8201464217834066,3.6381825161440813
1627734,10,10.469981886730581,2.1032302365386735,5.445433626737765,13.009072878942353
1627739,10,0.760496670341226,2.674344926394973,-4.6033868022042865,4.32560475907876
1627750,10,0.3713532178269193,1.221674942183756,-0.9265790747177394,3.3246714541135343
1627751,10,7.776614859966527,1.4554700514164378,5.795658365198703,10.799325975513254
1627752,10,0.9996545245614137,3.9437190043641337,-3.8502704125399267,6.685655963308682
1627759,10,-0.19874910276957053,1.8628820561014876,-2.607785013491993,3.088036901131378
1627783,10,2.271051852188212,2.044549816011885,-0.6719604284566509,5.810218944681663
1627826,10,-1.1178973927798395,1.2357617868248907,-3.2083803261026795,0.7060156979478174
1627832,10,-1.8369749947292533,2.1513168565868157,-6.110561266963349,0.8645865501752753
1628368,10,1.4672442557528913,1.4068085008290192,-0.540498689520384,3.9388007380577714
1628369,10,8.931246449392276,1.4062002231056485,7.146475473156975,11.495235850955906
1628370,10,-4.46722986042545,1.2941636299166086,-6.315496893587052,-1.5247020272235945
1628374,10,-2.4626817110436603,2.735351764868612,-6.56197806671821,2.7588140383749273
1628378,10,-1.0545854128520995,2.3659068157790215,-3.989331961246353,3.710460792144814
1628384,10,2.0658802550915256,2.029045854521,-0.521291829497216,6.716679909113961
1628386,10,-2.207830342244775,0.9902743276357274,-3.7762067928826557,-0.3102515114414475
1628389,10,1.9095077138192025,1.659750744377821,-0.5414057065591154,4.206974994360185
1628401,10,-2.552721619561396,2.656911563741153,-8.060421250763474,1.6050984345544959
1628404,10,0.17725026249706297,3.404670447415723,-3.097617117540325,7.8291974239111415
1628415,10,0.6929804127025401,2.7568859154878766,-2.5035937900250476,6.836168092740553
1628969,10,0.06271311617907603,2.3565429247449146,-3.226971751405618,3.3060129392387783
1628973,10,0.3123118441800502,2.211067564090913,-2.534497671996575,4.697389488167219
1628983,10,7.277548751579161,1.7565826780240739,4.787405237168707,10.179104406601029
1628991,10,4.646635577998086,3.040464452575437,-1.2594180292251391,8.50929183231288
1629008,10,2.789897355949665,2.988675588437413,-1.9585380053300292,7.856237504956617
1629012,10,4.653850637383075,2.0137214786142366,1.581653991875895,8.672910971691275
1629014,10,-6.363032749918717,2.675968565543858,-11.28209331457879,-1.8984608583014553
1629023,10,-2.790585397465052,2.246783922760771,-7.060353514637958,0.442202585049546
1629027,10,2.084721959739772,1.4859778249414102,-0.2370589527379285,4.4449752461147
1629060,10,1.1644641947391532,1.1165831938301691,-1.0647308895092022,2.450829109926669
1629628,10,-4.700107006587089,1.9431605068077313,-8.439363302006164,-2.6321797815538814
1629632,10,-4.261536866044541,2.6987857688974266,-7.653827469868655,0.032916123270646275
1629636,10,5.4400433797187135,1.5819284510927765,3.7060865502118374,8.832506993332345
1629639,10,1.9876388572101518,1.24237461040844,0.4054778471654359,4.164166360869534
1629652,10,-7.537936308057057,2.5448329072774314,-10.571606536880674,-3.3057347464937323
1629661,10,3.9413918896675346,2.9951706166885903,-0.6078707444623888,8.56712155456785
1629673,10,3.8690954377526596,2.2098766727579817,1.343829076795019,7.943520303783682
1630162,10,5.268769952450108,1.353892060402626,3.7271995167752103,7.97048459746451
1630169,10,-7.007750903108233,1.6581068314131375,-10.304541408863104,-5.5716202331126325
1630178,10,8.630389582338756,2.112116303698052,5.487729759785717,11.488300611594893
1630182,10,2.4741058319936515,2.03358637157432,0.14377438480352364,7.4806248979870285
1630183,10,-3.239675342389635,1.7525097976511523,-5.565001464071655,-0.5300981549454691
1630217,10,-2.8194930603768147,1.3448845268107315,-4.6879697752569225,-0.5082776004451482
1630224,10,-2.4413494774858204,2.2473235468842576,-4.8547240676523,2.353927054413281
1630245,10,-3.021186182859891,1.4366795300195667,-5.125850896225204,-1.308081403764853
1630534,10,-4.896909964135471,2.954366605095853,-9.047663877807652,0.8403150460476587
1630552,10,7.249754068758383,1.858749873072364,4.354817271251848,9.961450704997109
1630559,10,-2.480449874166695,2.4166626189823863,-4.703183384909558,1.8180187580435054
1630578,10,2.338003455449435,2.1318132409655957,-0.6770341032577886,5.257814544562785
1630581,10,-5.5169359574974095,1.8221503652957325,-7.92386768405124,-1.818895334191492
1630595,10,-1.2570449454785597,1.1777924935439903,-2.9029403877406277,0.5290544094412714
1630596,10,-0.03507863089469645,2.4100638512482218,-3.2113125766692985,4.476970513917762
1630700,10,-3.925949080679281,1.6607231952462587,-6.79867637736994,-1.0119177283988077
1631097,10,2.2581277158329263,1.856185015186775,-0.2934468104393166,5.099069175192783
1631099,10,2.4517234818274094,1.7712412613901065,0.702846794661423,6.110786225140177
1631105,10,1.6203361656119255,2.1591224447784123,-0.8750537457773274,6.211022927005633
1631114,10,1.9030937984587522,1.0128091045271892,0.9915853938050297,3.3541769637295666
1631117,10,1.8705993294972056,1.6361910140063511,0.3083429260420241,5.187998534580592
1631128,10,4.378188703492027,1.9138420007389503,1.6960101962383456,7.519780900564183
1641705,10,1.7235856071587612,1.0737336504201727,-0.2617926916120857,2.8418510850999503
1641711,10,2.0352158465584167,2.2851425101007727,-3.065643119308009,4.483690703396868
1641717,10,-3.9289999793893324,2.681228595164722,-6.404086860729775,0.6739487299217394
1641718,10,-2.3596297823933305,1.9445376727498473,-4.881209375639975,0.6970586499110433
1641731,10,-1.883810157232554,2.376334179338292,-5.904758483797234,2.1588118810515837
1641739,10,8.671976641619295,3.3669330099747987,3.269503962404613,14.160017158616778
1641783,10,-5.130021170320694,2.6906515833502347,-7.415536783837686,0.9917851716520342
1642258,10,-8.866863196579919,3.024180114388205,-11.263743865701764,-2.1495495724798532
1642259,10,1.1216822185314128,3.2109623286415423,-2.723564678836311,7.185007807107483
1642267,10,0.045907164373061284,3.259054288646652,-4.687624677643111,5.779688574408467
1642377,10,-6.457640910052094,2.2521763572554243,-10.301828233243949,-2.839907827617489
201143,10,4.62339908957266,2.811720241546389,1.525675709726498,10.654589229866012
201572,10,-3.6953511885515176,2.0522175931645044,-7.109074485683645,-0.4811663131493325
201935,10,0.6219941009634138,1.4022856220316127,-0.7616533293280171,2.81109916512224
201939,10,-2.887263329236421,2.832579723472429,-6.525795415394075,2.613012839692654
201942,10,-6.22971352190005,1.859893178096146,-8.712122788525305,-3.48119357622566
201950,10,-10.685561197369204,2.4490753285783526,-13.431453440206765,-6.350628857215216
202681,10,-0.9105634567232505,1.7611379285831705,-3.4494101151280607,3.349938275941047
202691,10,2.0214571711666145,2.122068192962506,-1.3007043495699506,4.531381515303936
202696,10,3.4559275619404346,2.233840305749035,-0.4210736398981918,6.266624443967831
202699,10,8.9225951543735,4.409906767455693,2.2424300488902817,14.65550168155595
203076,10,-1.2208672909972023,1.5726006165748074,-3.415483287659293,0.7878732606708809
203081,10,-2.1903959782682554,2.467225047138361,-5.300388642952674,3.4500881497147087
203084,10,-5.314571259157536,2.5312260089919563,-10.13782870772988,-1.6881091791085148
203110,10,5.912841893788049,3.668376692236959,-1.102067976994789,14.055274591340142
203471,10,2.8154569831392218,1.6247425791149206,1.0658607872177335,5.187153312736953
203484,10,5.965752432598126,2.3532746593834735,1.3710450256476625,9.278613780730057
203497,10,4.053484985540452,2.8349734904801944,0.7797556377903294,8.664028287489415
203501,10,-5.801259405736901,2.7675216308543154,-11.342598725197094,-1.006529454469798
203507,10,7.741945437965663,1.7611199564687992,5.49723695135141,10.34343490841254
203897,10,7.570716383478404,2.9863229815287027,3.9206544452552574,12.699186927901321
203924,10,-4.729845684533879,1.5127132459870574,-6.16593445290573,-1.3046948438133432
203944,10,1.4434068967585074,2.9179769193969487,-4.783110032444515,5.545640078912008
203952,10,-5.5399668616338165,3.1605439539609157,-9.269723465420498,-0.014917607128456592
203991,10,4.866027919735861,2.0507539354503694,0.7498240759494568,6.549738666276396
203999,10,3.869144148971318,2.63562394968738,0.2618944818809768,8.273174383717393
2544,10,-3.9398486278973044,2.088382043798331,-7.150058729353679,-0.7515752782576811
