season,playerId,teamId,teamN,observedRealizedR1Points,rateAllocatedR1PointsDiagnostic,R1WinEq
2025-26,101108,1610612746,559,-31.56465928923819,-31.56465928923819,-0.8419338853937675
2025-26,1626145,1610612742,340,-10.011321557152314,-6.478112577285685,-0.26703506536544214
2025-26,1626145,1610612743,285,-14.478732009711274,-5.430182601548295,-0.38619568121451225
2025-26,1626145,1610612753,1717,-20.132710127263106,-32.71446851529271,-0.5370059820899836
2025-26,1626156,1610612742,1471,-57.49192376995163,-57.49192376995163,-1.5334998016246892
2025-26,1626157,1610612752,6698,34.013369263298074,34.013369263298074,0.9072490812199305
2025-26,1626162,1610612755,4183,19.34923006845299,19.34923006845299,0.5161079770141791
2025-26,1626164,1610612756,6970,-3.3038820997964544,-3.303882099796455,-0.08812546549846452
2025-26,1626166,1610612755,1108,-3.9540257014962266,-3.9540257014962266,-0.10546694615970559
2025-26,1626167,1610612749,5064,3.502402807471383,3.5024028074713827,0.09342066951800732
2025-26,1626171,1610612749,4606,38.79023429102178,38.79023429102178,1.0346638743257202
2025-26,1626172,1610612740,738,-9.77013548493358,-9.77013548493358,-0.2606018349280328
2025-26,1626181,1610612748,5454,124.76320108210727,124.76320108210729,3.3278473142599743
2025-26,1626192,1610612766,698,7.580005508298252,7.580005508298252,0.20218382306707078
2025-26,1626204,1610612739,1136,-9.727219266967495,-9.727219266967495,-0.2594571174195213
2025-26,1626220,1610612756,5534,4.18697747077117,4.18697747077117,0.1116805404968976
2025-26,1627734,1610612758,1632,-22.148534056318226,-22.148534056318226,-0.5907746750230245
2025-26,1627739,1610612746,5278,-26.60925652980229,-26.60925652980229,-0.7097569003450067
2025-26,1627741,1610612737,153,0.8101620204615605,-0.6404913651036885,0.021609701262266627
2025-26,1627741,1610612744,1993,-9.793786004203492,-8.343132618638244,-0.2612326725175672
2025-26,1627742,1610612761,7618,-4.515845358618545,-4.515845358618545,-0.12045253502594942
2025-26,1627746,1610612764,93,4.745104286064612,4.745104286064612,0.12656762905491253
2025-26,1627747,1610612765,3011,-54.910492534397285,-54.91049253439728,-1.4646444906862275
2025-26,1627749,1610612740,1180,-12.68478767740201,-12.68478767740201,-0.338345251148371
2025-26,1627750,1610612743,8172,87.44976142310105,87.44976142310105,2.3325744382994875
2025-26,1627751,1610612761,2865,29.397181626816483,29.397181626816483,0.7841200856912283
2025-26,1627752,1610612749,1531,4.510301502938912,4.510301502938912,0.12030466205480009
2025-26,1627759,1610612738,7959,-16.5355736894417,-16.5355736894417,-0.44105845325291354
2025-26,1627780,1610612744,2999,53.33360884529481,53.33360884529481,1.4225837860540456
2025-26,1627783,1610612754,6599,41.18472873220295,41.18472873220295,1.0985329625342783
2025-26,1627824,1610612741,1772,-15.235492228350335,-24.101390549861012,-0.40638097975842685
2025-26,1627824,1610612752,907,-21.202219556682202,-12.336321235171521,-0.5655333367217853
2025-26,1627826,1610612746,3491,-9.36073206768937,-12.611774384842015,-0.24968169140247212
2025-26,1627826,1610612754,314,-4.385415607568113,-1.1343732904154664,-0.11697354207796369
2025-26,1627827,1610612745,1437,-30.50620518639611,-30.50620518639611,-0.8137014128949865
2025-26,1627884,1610612746,3358,30.22744866550295,30.22744866550295,0.8062660543009388
2025-26,1627936,1610612760,2580,38.282500535330556,38.282500535330556,1.0211209353775266
2025-26,1628365,1610612761,105,-14.341067810647504,-14.341067810647504,-0.3825237216050227
2025-26,1628366,1610612739,1827,-59.35844998696217,-59.35844998696217,-1.5832862306710755
2025-26,1628368,1610612759,6676,3.9146242091302415,3.914624209130241,0.10441597801035771
2025-26,1628369,1610612738,1652,-11.59298255195282,-11.59298255195282,-0.30922319654486474
2025-26,1628370,1610612758,4156,-23.814979424413583,-23.814979424413583,-0.635224285921734
2025-26,1628371,1610612753,1193,-20.238955086000583,-20.23895508600058,-0.5398398866188958
2025-26,1628374,1610612762,4554,143.75654858386574,143.75654858386574,3.8344627258903357
