season,teamId,UnassignedResidual,offPoss
2025-26,1610612737,-113.8211531348109,8429
2025-26,1610612738,-68.36163604620717,7860
2025-26,1610612739,-66.19101701890798,8298
2025-26,1610612740,-127.72926673382982,8367
2025-26,1610612741,-108.35794502992385,8488
2025-26,1610612742,-114.31580994962381,8373
2025-26,1610612743,-79.70069597869693,8259
2025-26,1610612744,-80.88976856143647,8246
2025-26,1610612745,-87.2597815068595,8057
2025-26,1610612746,-90.47357225386794,8008
2025-26,1610612747,-83.2772344691781,8169
2025-26,1610612748,-113.66092164389246,8558
2025-26,1610612749,-114.38366914770991,8069
2025-26,1610612750,-85.68213569100622,8361
2025-26,1610612751,-135.53322708482457,8024
2025-26,1610612752,-85.58372261805746,7950
2025-26,1610612753,-119.6199548202628,8022
2025-26,1610612754,-123.16147103113452,8371
2025-26,1610612755,-127.35009749639303,8315
2025-26,1610612756,-97.5272315486327,8089
2025-26,1610612757,-132.44801972509606,8375
2025-26,1610612758,-98.8922506765616,8227
2025-26,1610612759,-102.9613177685775,8173
2025-26,1610612760,-91.713156004878,8182
2025-26,1610612761,-101.75452236137482,8160
2025-26,1610612762,-129.8538835677379,8535
2025-26,1610612763,-98.75753573983229,8176
2025-26,1610612764,-103.16985609063114,8416
2025-26,1610612765,-111.32166599567427,8144
2025-26,1610612766,-88.42188341727974,8053
