season,teamId,TeamPlayerAttributedR1Points,TeamR1WinEq,R1BaselineNetPoints,UnassignedResidual,ActualNetPoints
2024-25,1610612737,114.14485685138402,3.044620946039065,-86.62256569857709,-112.52229115281048,-85
2024-25,1610612738,360.3086689934876,9.610624174554976,488.1985306480765,-101.50719964158128,747
2024-25,1610612739,474.8756953748581,12.666505778579271,434.1917001036454,-127.06739547847252,782
2024-25,1610612740,-196.81780896787228,-5.249782077499128,-466.8409342849918,-109.3412567471632,-773
2024-25,1610612741,128.31561897052057,3.4226020514465048,-150.93903767476695,-105.37658129574359,-128
2024-25,1610612742,10.56528972571565,0.28181122905753736,-2.175958644305865,-106.38933108137353,-98
2024-25,1610612743,221.63047276537583,5.911617906188841,208.6429515489108,-111.27342431423524,319
2024-25,1610612744,268.2988467104473,7.156417827535675,110.08012761469035,-108.37897432512145,270
2024-25,1610612745,264.3753775714811,7.051765925985811,224.89624054806518,-104.27161811956815,385
2024-25,1610612746,314.86211987952817,8.398414363492638,166.57279746290624,-99.43491734243656,382
2024-25,1610612747,44.26550812489187,1.1807075407662058,177.29193506643787,-121.55744319133936,100
2024-25,1610612748,58.633465826268,1.5639485047140496,92.38393180476851,-125.0173976310228,26
2024-25,1610612749,154.2514147559799,4.114395525798247,113.45478792720496,-72.70620268320619,195
2024-25,1610612750,370.6994088276849,9.88777958056008,148.24343803680677,-108.94284686448684,410
2024-25,1610612751,-175.76019403404356,-4.688105824449601,-276.5339092633076,-130.7058967026372,-583
2024-25,1610612752,168.86052048015551,4.504068705279614,267.5064829056719,-100.36700338582591,336
2024-25,1610612753,120.48547461408151,3.2137461977906256,-13.536632569599533,-116.94884204453764,-10
2024-25,1610612754,270.74915605936377,7.2217756839803116,1.9135514853187487,-97.66270754470253,175
2024-25,1610612755,-127.05666059133318,-3.3890214665897034,-267.5969542460225,-116.34638516263506,-511
2024-25,1610612756,-19.6352043955823,-0.5237358583784787,-137.81791824314678,-88.54687736123748,-246
2024-25,1610612757,6.566973817167221,0.17516291655496527,-140.82226486827312,-108.74470894888016,-243
2024-25,1610612758,222.5251362290673,5.935481540489574,-63.50100722066418,-120.02412900839526,39
2024-25,1610612759,31.666345298753683,0.8446461876650216,-149.73742817178572,-99.92891712696657,-218
2024-25,1610612760,545.545546250445,14.551504491306293,610.2470920141332,-115.7926382645515,1040
2024-25,1610612761,-47.73800305256379,-1.2733304681887665,-164.01553801511,-140.24645893232642,-352
2024-25,1610612762,-261.50010018813396,-6.975072766184411,-344.4057902577606,-160.09410955413776,-766
2024-25,1610612763,293.21469549909546,7.82100594129562,212.0961345173473,-107.31083001644282,398
2024-25,1610612764,-301.84386915645234,-8.051174549754291,-605.5965823163588,-92.55954852718148,-1000
2024-25,1610612765,147.87954821801685,3.944436765833211,122.02069082221715,-113.90023904019598,156
2024-25,1610612766,-93.63516568036924,-2.4975596323842053,-507.59787103146664,-145.76696328820435,-747
