season,playerId,playerName,N,ApproachBAttributedValue,rawAbilityRate,validatedDRBL100,R1Points,R1WinEquivalents,r1PointsPerWin
2022-23,1628374,Lauri Markkanen,9387,251.04985670284873,2.6744,2.28,251.04985670284873,6.696330200954921,37.490662671779255
2022-23,202710,Jimmy Butler,8546,226.53247516321468,2.6507,2.23,226.53247516321468,6.042370526934827,37.490662671779255
2022-23,201939,Stephen Curry,8449,204.2757378898483,2.4178,2.03,204.2757378898483,5.448709714155438,37.490662671779255
2022-23,1628378,Donovan Mitchell,9773,227.62068336273452,2.3291,2,227.62068336273452,6.071396639624454,37.490662671779255
2022-23,203954,Joel Embiid,9203,212.48532103905043,2.3089,1.97,212.48532103905043,5.667686455673048,37.490662671779255
2022-23,203999,Nikola Jokic,9718,215.75698390924543,2.2202,1.91,215.75698390924543,5.7549525277304445,37.490662671779255
2022-23,1628983,Shai Gilgeous-Alexander,10257,217.9429483284225,2.1248,1.84,217.9429483284225,5.813259430393504,37.490662671779255
2022-23,203076,Anthony Davis,7970,167.1832996495179,2.0977,1.75,167.1832996495179,4.459331677147536,37.490662671779255
2022-23,1628991,Jaren Jackson Jr.,7616,146.48158232970118,1.9233,1.59,146.48158232970118,3.907148390843564,37.490662671779255
2022-23,1629661,Cameron Johnson,4851,101.20758318863051,2.0863,1.57,101.20758318863051,2.6995410583876813,37.490662671779255
2022-23,201142,Kevin Durant,6753,131.01826109710558,1.9401,1.57,131.01826109710558,3.494690457838409,37.490662671779255
2022-23,1629627,Zion Williamson,4037,87.84011756021995,2.1759,1.56,87.84011756021995,2.3429865278519277,37.490662671779255
2022-23,203081,Damian Lillard,8724,153.1149630698269,1.7551,1.48,153.1149630698269,4.084082599721097,37.490662671779255
2022-23,1630530,Trey Murphy III,10230,167.195157773211,1.6344,1.41,167.195157773211,4.459647972535454,37.490662671779255
2022-23,1628418,Thomas Bryant,4525,86.09436423641756,1.9026,1.41,86.09436423641756,2.2964215114080737,37.490662671779255
2022-23,202695,Kawhi Leonard,7157,118.83803757458638,1.6604,1.36,118.83803757458638,3.169803601899003,37.490662671779255
2022-23,1631117,Walker Kessler,7178,117.95981794714646,1.6434,1.34,117.95981794714646,3.146378579110569,37.490662671779255
2022-23,1631109,Mark Williams,3504,67.75569881132682,1.9337,1.33,67.75569881132682,1.8072686365805235,37.490662671779255
2022-23,201572,Brook Lopez,9915,142.41638095327073,1.4364,1.24,142.41638095327073,3.7987160216421922,37.490662671779255
2022-23,1630217,Desmond Bane,7829,110.34043113882069,1.4094,1.17,110.34043113882069,2.9431443264906174,37.490662671779255
2022-23,203991,Clint Capela,7357,104.41382193042632,1.4192,1.17,104.41382193042632,2.7850620525046854,37.490662671779255
2022-23,1629057,Robert Williams III,3372,57.77000053009631,1.7132,1.16,57.77000053009631,1.5409170287507918,37.490662671779255
2022-23,202681,Kyrie Irving,9133,123.37031727099294,1.3508,1.15,123.37031727099294,3.290694495081806,37.490662671779255
2022-23,1630198,Isaiah Joe,5843,85.29994070839466,1.4599,1.15,85.29994070839466,2.275231607805199,37.490662671779255
2022-23,1626246,Boban Marjanovic,683,26.12448727304419,3.825,1.14,26.12448727304419,0.6968265005544741,37.490662671779255
2022-23,1629018,Gary Trent Jr.,8636,115.79796957868261,1.3409,1.13,115.79796957868261,3.0887149313007063,37.490662671779255
2022-23,1626162,Kelly Oubre Jr.,6432,90.26416475714494,1.4034,1.12,90.26416475714494,2.4076438858225475,37.490662671779255
2022-23,1629029,Luka Doncic,9624,125.96093331663053,1.3088,1.12,125.96093331663053,3.35979479529036,37.490662671779255
